pueblo;nave;sección;posición;provincia;firma;firma-domingo
Palamós;1;;5;Girona;FALSE;TRUE
Palafrugell;1;;5;Girona;FALSE;TRUE
La Bisbal d’Empordà;1;;5;Girona;FALSE;FALSE
Sta Coloma de Farners;1;;6;Girona;FALSE;TRUE
Hostalric;1;;6;Girona;FALSE;FALSE
Arbúcies;1;;6;Girona;FALSE;FALSE
Sant Hilari Sacalm;1;;6;Girona;FALSE;FALSE
Caldes de Malavella;1;;7;Girona;FALSE;FALSE
Maçanet;1;;7;Girona;FALSE;FALSE
Sils;1;;7;Girona;FALSE;FALSE
Llagostera;1;;7;Girona;FALSE;FALSE
Vidreres;1;;7;Girona;FALSE;FALSE
Tossa de Mar;1;;8;Girona;FALSE;FALSE
Blanes;1;;8;Girona;FALSE;FALSE
Lloret de Mar;1;;8;Girona;FALSE;TRUE
Ribes de Freser;1;;9;Girona;FALSE;FALSE
Ripoll;1;;9;Girona;FALSE;FALSE
Campdevànol;1;;9;Girona;FALSE;FALSE
Calaf;6;C;1;Lleida;FALSE;FALSE
St Fruitós;6;C;1;Barcelona;FALSE;FALSE
St Julià de Vilatorta;6;C;1;Barcelona;FALSE;FALSE
Rubí;6;C;1;Barcelona;FALSE;FALSE
Castellbisbal;6;C;1;Barcelona;FALSE;FALSE
Vic;6;C;1;Barcelona;TRUE;TRUE
Masies de Voltregà;6;C;1;Barcelona;FALSE;FALSE
Roda de Ter;6;C;1;Barcelona;FALSE;FALSE
Ripollet;6;C;1;Barcelona;FALSE;FALSE
Montcada i Reixac;6;C;1;Barcelona;FALSE;FALSE
St Vicenç de Castellet;6;C;1;Barcelona;FALSE;FALSE
Olesa de Montserrat;6;C;1;Barcelona;FALSE;FALSE
Castellbell i el Vilar;6;C;1;Barcelona;FALSE;FALSE
St Andreu de Llavaneres;6;C;1;Barcelona;FALSE;FALSE
St Vicenç de Montalt;6;C;1;Barcelona;FALSE;FALSE
Arenys de Munt;6;C;1;Barcelona;FALSE;FALSE
Cardona;6;C;1;Barcelona;FALSE;FALSE
Santpedor;6;C;1;Barcelona;FALSE;FALSE
Súria;6;C;1;Barcelona;FALSE;FALSE
Vacarisses;6;C;1;Barcelona;FALSE;FALSE
Castellar;6;C;1;Barcelona;FALSE;FALSE
Matadepera;6;C;1;Barcelona;FALSE;FALSE
Cardedeu;6;C;1;Barcelona;FALSE;FALSE
Granollers;6;C;2;Barcelona;TRUE;TRUE
Sabadell (ur4, ur1);6;A;1;Barcelona;TRUE;TRUE
Terrassa (op, ur1, ur3);6;A;3;Barcelona;TRUE;TRUE
Vic;6;B;1;Barcelona;FALSE;FALSE
Badalona (use, ur1);6;B;2;Barcelona;TRUE;TRUE
Sabadell (use, ur2, ur3);6;B;3;Barcelona;TRUE;TRUE
Terrassa (use, ur2);6;B;4;Barcelona;TRUE;TRUE
Hospitalet;6;B;5;Barcelona;TRUE;TRUE
Andorra;3;A;1;;FALSE;FALSE
Girona (resto);3;A;2;Girona;TRUE;TRUE
Girona (use);3;A;3;Girona;TRUE;TRUE
Girona (ur1);3;A;3;Girona;TRUE;TRUE
Salt;3;A;4;Girona;TRUE;TRUE
Figueres;3;A;4;Girona;TRUE;TRUE
Trade Inn;3;A;4;Girona;TRUE;TRUE
Tarragona (use);3;A;5;Tarragona;TRUE;TRUE
Tarragona (ur1);3;A;5;Tarragona;TRUE;TRUE
Tarragona (ur2);3;A;5;Tarragona;TRUE;TRUE
Reus;3;A;6;Tarragona;TRUE;TRUE
Tarragona (resto);3;A;7;Tarragona;TRUE;TRUE
Sant Cugat (CTA);3;A;8;Lleida;TRUE;TRUE
Sant Cugat (URP);3;A;9;Lleida;TRUE;TRUE
Mora d'Ebre;3;B;1;Tarragona;TRUE;TRUE
Tortosa;3;B;2;Tarragona;TRUE;TRUE
Amposta;3;B;3;Tarragona;TRUE;TRUE
Puigcerda;3;B;4;Girona;FALSE;FALSE
